time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature,is_true_mixed_batch
0.0,0.0,0.0,0.0,0.0,1,0.014478,0.014478,0.014478,0.014478,0.0,1,0.162053,0.162053,0.162053,0.162053,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,256,0,True,TORCH_SDPA,False,even,[256],256,256,256,256.0,256,0.0,0.0,0.0,False,0,256,256,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009118,0.009118,0.009118,0.009118,0.0,1,0.014757000000000001,0.014757000000000001,0.014757000000000001,0.014757000000000001,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,1,0,True,TORCH_SDPA,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,1,1,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.008238,0.008238,0.008238,0.008238,0.0,1,0.06589199999999999,0.06589199999999999,0.06589199999999999,0.06589199999999999,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,2,0,True,TORCH_SDPA,False,even,[2],2,2,2,2.0,2,0.0,0.0,0.0,False,0,2,2,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009638000000000002,0.009638000000000002,0.009638000000000002,0.009638000000000002,0.0,1,0.06529199999999999,0.06529199999999999,0.06529199999999999,0.06529199999999999,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,4,0,True,TORCH_SDPA,False,even,[4],4,4,4,4.0,4,0.0,0.0,0.0,False,0,4,4,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009518,0.009518,0.009518,0.009518,0.0,1,0.072212,0.072212,0.072212,0.072212,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,5,0,True,TORCH_SDPA,False,even,[5],5,5,5,5.0,5,0.0,0.0,0.0,False,0,5,5,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009478000000000002,0.009478000000000002,0.009478000000000002,0.009478000000000002,0.0,1,0.07109200000000002,0.07109200000000002,0.07109200000000002,0.07109200000000002,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,8,0,True,TORCH_SDPA,False,even,[8],8,8,8,8.0,8,0.0,0.0,0.0,False,0,8,8,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009358,0.009358,0.009358,0.009358,0.0,1,0.06973200000000002,0.06973200000000002,0.06973200000000002,0.06973200000000002,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,16,0,True,TORCH_SDPA,False,even,[16],16,16,16,16.0,16,0.0,0.0,0.0,False,0,16,16,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009558,0.009558,0.009558,0.009558,0.0,1,0.08037300000000001,0.08037300000000001,0.08037300000000001,0.08037300000000001,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,32,0,True,TORCH_SDPA,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009478000000000002,0.009478000000000002,0.009478000000000002,0.009478000000000002,0.0,1,0.082052,0.082052,0.082052,0.082052,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,64,0,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,KERNEL_ONLY,generic,generic,none,False
0.0,0.0,0.0,0.0,0.0,1,0.009558,0.009558,0.009558,0.009558,0.0,1,0.08941300000000002,0.08941300000000002,0.08941300000000002,0.08941300000000002,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,16,8,16,1,256,1,96,0,True,TORCH_SDPA,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,BF16,KERNEL_ONLY,generic,generic,none,False
