num_tokens,stratum,band,tier
1,0,0,train
2,0,1,holdout
3,0,2,train
4,0,3,train
5,0,4,train
6,1,5,train
7,1,6,train
8,1,7,test
9,1,8,train
10,1,9,train
11,1,10,holdout
12,2,11,train
13,2,11,train
14,2,12,holdout
15,2,13,train
16,2,14,train
17,2,14,train
18,2,15,train
19,2,15,train
20,2,16,test
21,2,16,test
22,2,17,train
23,2,17,train
24,2,18,train
25,2,18,train
26,3,19,test
27,3,19,test
28,3,19,test
29,3,20,train
30,3,20,train
31,3,21,train
32,3,21,train
33,3,21,train
34,3,21,train
35,3,22,train
36,3,22,train
37,3,22,train
38,3,23,train
39,3,23,train
40,3,23,train
41,3,23,train
42,3,24,holdout
43,3,24,holdout
44,3,24,holdout
45,3,24,holdout
46,3,25,train
47,3,25,train
48,3,25,train
49,3,25,train
50,3,26,train
51,3,26,train
52,3,26,train
53,3,26,train
54,3,26,train
55,4,27,holdout
56,4,27,holdout
57,4,27,holdout
58,4,27,holdout
59,4,27,holdout
60,4,27,holdout
61,4,28,train
62,4,28,train
63,4,28,train
64,4,28,train
65,4,28,train
66,4,28,train
67,4,29,test
68,4,29,test
69,4,29,test
70,4,29,test
71,4,29,test
72,4,29,test
73,4,30,train
74,4,30,train
75,4,30,train
76,4,30,train
77,4,30,train
78,4,30,train
79,4,30,train
80,4,30,train
81,4,31,test
82,4,31,test
83,4,31,test
84,4,31,test
85,4,31,test
86,4,31,test
87,4,31,test
88,4,31,test
89,4,32,train
90,4,32,train
91,4,32,train
92,4,32,train
93,4,32,train
94,4,32,train
95,4,32,train
96,4,32,train
97,4,32,train
98,4,33,train
99,4,33,train
100,4,33,train
101,4,33,train
102,4,33,train
103,4,33,train
104,4,33,train
105,4,33,train
106,4,33,train
107,4,34,train
108,4,34,train
109,4,34,train
110,4,34,train
111,4,34,train
112,4,34,train
113,4,34,train
114,4,34,train
115,4,34,train
116,4,34,train
117,4,34,train
118,4,35,train
119,4,35,train
120,4,35,train
121,4,35,train
122,4,35,train
123,4,35,train
124,4,35,train
125,4,35,train
126,4,35,train
127,4,35,train
128,4,35,train
129,4,35,train
130,5,36,test
131,5,36,test
132,5,36,test
133,5,36,test
134,5,36,test
135,5,36,test
136,5,36,test
137,5,36,test
138,5,36,test
139,5,36,test
140,5,36,test
141,5,36,test
142,5,36,test
143,5,37,train
144,5,37,train
145,5,37,train
146,5,37,train
147,5,37,train
148,5,37,train
149,5,37,train
150,5,37,train
151,5,37,train
152,5,37,train
153,5,37,train
154,5,37,train
155,5,37,train
156,5,37,train
157,5,38,train
158,5,38,train
159,5,38,train
160,5,38,train
161,5,38,train
162,5,38,train
163,5,38,train
164,5,38,train
165,5,38,train
166,5,38,train
167,5,38,train
168,5,38,train
169,5,38,train
170,5,38,train
171,5,38,train
172,5,39,train
173,5,39,train
174,5,39,train
175,5,39,train
176,5,39,train
177,5,39,train
178,5,39,train
179,5,39,train
180,5,39,train
181,5,39,train
182,5,39,train
183,5,39,train
184,5,39,train
185,5,39,train
186,5,39,train
187,5,39,train
188,5,39,train
189,5,39,train
190,5,40,holdout
191,5,40,holdout
192,5,40,holdout
193,5,40,holdout
194,5,40,holdout
195,5,40,holdout
196,5,40,holdout
197,5,40,holdout
198,5,40,holdout
199,5,40,holdout
200,5,40,holdout
201,5,40,holdout
202,5,40,holdout
203,5,40,holdout
204,5,40,holdout
205,5,40,holdout
206,5,40,holdout
207,5,40,holdout
208,5,41,train
209,5,41,train
210,5,41,train
211,5,41,train
212,5,41,train
213,5,41,train
214,5,41,train
215,5,41,train
216,5,41,train
217,5,41,train
218,5,41,train
219,5,41,train
220,5,41,train
221,5,41,train
222,5,41,train
223,5,41,train
224,5,41,train
225,5,41,train
226,5,41,train
227,5,41,train
228,5,41,train
229,5,42,train
230,5,42,train
231,5,42,train
232,5,42,train
233,5,42,train
234,5,42,train
235,5,42,train
236,5,42,train
237,5,42,train
238,5,42,train
239,5,42,train
240,5,42,train
241,5,42,train
242,5,42,train
243,5,42,train
244,5,42,train
245,5,42,train
246,5,42,train
247,5,42,train
248,5,42,train
249,5,42,train
250,5,42,train
251,5,42,train
252,5,43,train
253,5,43,train
254,5,43,train
255,5,43,train
256,5,43,train
257,5,43,train
258,5,43,train
259,5,43,train
260,5,43,train
261,5,43,train
262,5,43,train
263,5,43,train
264,5,43,train
265,5,43,train
266,5,43,train
267,5,43,train
268,5,43,train
269,5,43,train
270,5,43,train
271,5,43,train
272,5,43,train
273,5,43,train
274,5,43,train
275,5,43,train
276,5,43,train
277,6,44,train
278,6,44,train
279,6,44,train
280,6,44,train
281,6,44,train
282,6,44,train
283,6,44,train
284,6,44,train
285,6,44,train
286,6,44,train
287,6,44,train
288,6,44,train
289,6,44,train
290,6,44,train
291,6,44,train
292,6,44,train
293,6,44,train
294,6,44,train
295,6,44,train
296,6,44,train
297,6,44,train
298,6,44,train
299,6,44,train
300,6,44,train
301,6,44,train
302,6,44,train
303,6,44,train
304,6,44,train
305,6,45,train
306,6,45,train
307,6,45,train
308,6,45,train
309,6,45,train
310,6,45,train
311,6,45,train
312,6,45,train
313,6,45,train
314,6,45,train
315,6,45,train
316,6,45,train
317,6,45,train
318,6,45,train
319,6,45,train
320,6,45,train
321,6,45,train
322,6,45,train
323,6,45,train
324,6,45,train
325,6,45,train
326,6,45,train
327,6,45,train
328,6,45,train
329,6,45,train
330,6,45,train
331,6,45,train
332,6,45,train
333,6,45,train
334,6,45,train
335,6,46,train
336,6,46,train
337,6,46,train
338,6,46,train
339,6,46,train
340,6,46,train
341,6,46,train
342,6,46,train
343,6,46,train
344,6,46,train
345,6,46,train
346,6,46,train
347,6,46,train
348,6,46,train
349,6,46,train
350,6,46,train
351,6,46,train
352,6,46,train
353,6,46,train
354,6,46,train
355,6,46,train
356,6,46,train
357,6,46,train
358,6,46,train
359,6,46,train
360,6,46,train
361,6,46,train
362,6,46,train
363,6,46,train
364,6,46,train
365,6,46,train
366,6,46,train
367,6,46,train
368,6,46,train
369,6,47,train
370,6,47,train
371,6,47,train
372,6,47,train
373,6,47,train
374,6,47,train
375,6,47,train
376,6,47,train
377,6,47,train
378,6,47,train
379,6,47,train
380,6,47,train
381,6,47,train
382,6,47,train
383,6,47,train
384,6,47,train
385,6,47,train
386,6,47,train
387,6,47,train
388,6,47,train
389,6,47,train
390,6,47,train
391,6,47,train
392,6,47,train
393,6,47,train
394,6,47,train
395,6,47,train
396,6,47,train
397,6,47,train
398,6,47,train
399,6,47,train
400,6,47,train
401,6,47,train
402,6,47,train
403,6,47,train
404,6,47,train
405,6,47,train
406,6,48,train
407,6,48,train
408,6,48,train
409,6,48,train
410,6,48,train
411,6,48,train
412,6,48,train
413,6,48,train
414,6,48,train
415,6,48,train
416,6,48,train
417,6,48,train
418,6,48,train
419,6,48,train
420,6,48,train
421,6,48,train
422,6,48,train
423,6,48,train
424,6,48,train
425,6,48,train
426,6,48,train
427,6,48,train
428,6,48,train
429,6,48,train
430,6,48,train
431,6,48,train
432,6,48,train
433,6,48,train
434,6,48,train
435,6,48,train
436,6,48,train
437,6,48,train
438,6,48,train
439,6,48,train
440,6,48,train
441,6,48,train
442,6,48,train
443,6,48,train
444,6,48,train
445,6,48,train
446,6,49,train
447,6,49,train
448,6,49,train
449,6,49,train
450,6,49,train
451,6,49,train
452,6,49,train
453,6,49,train
454,6,49,train
455,6,49,train
456,6,49,train
457,6,49,train
458,6,49,train
459,6,49,train
460,6,49,train
461,6,49,train
462,6,49,train
463,6,49,train
464,6,49,train
465,6,49,train
466,6,49,train
467,6,49,train
468,6,49,train
469,6,49,train
470,6,49,train
471,6,49,train
472,6,49,train
473,6,49,train
474,6,49,train
475,6,49,train
476,6,49,train
477,6,49,train
478,6,49,train
479,6,49,train
480,6,49,train
481,6,49,train
482,6,49,train
483,6,49,train
484,6,49,train
485,6,49,train
486,6,49,train
