num_tokens,stratum,band,tier
1,0,-1,test
2,0,-1,train
3,0,-1,train
4,0,-1,test
5,0,-1,train
6,0,-1,train
7,0,-1,train
8,0,-1,train
9,0,-1,train
10,0,-1,train
11,0,-1,train
12,0,-1,train
13,0,-1,train
14,0,-1,holdout
15,0,-1,holdout
16,0,-1,train
17,0,-1,holdout
18,0,-1,test
19,0,-1,train
20,0,-1,test
21,0,-1,train
22,0,-1,train
23,0,-1,train
24,0,-1,train
25,0,-1,test
26,0,-1,train
27,0,-1,test
28,0,-1,train
29,0,-1,test
30,0,-1,holdout
31,0,-1,train
32,0,-1,train
33,0,-1,train
34,0,-1,train
35,0,-1,train
36,0,-1,train
37,0,-1,holdout
38,0,-1,test
39,0,-1,train
40,0,-1,train
41,0,-1,train
42,0,-1,train
43,0,-1,train
44,0,-1,train
45,0,-1,train
46,0,-1,train
47,0,-1,train
48,0,-1,train
49,0,-1,train
50,0,-1,holdout
51,0,-1,train
52,0,-1,train
53,0,-1,train
54,0,-1,train
55,0,-1,train
56,0,-1,train
57,0,-1,test
58,1,-1,train
59,1,-1,train
60,1,-1,train
61,1,-1,train
62,1,-1,test
63,1,-1,test
64,1,-1,train
65,1,-1,train
66,1,-1,train
67,1,-1,train
68,1,-1,train
69,1,-1,test
70,1,-1,train
71,1,-1,train
72,1,-1,train
73,1,-1,train
74,1,-1,train
75,1,-1,train
76,1,-1,train
77,1,-1,train
78,1,-1,train
79,1,-1,test
80,1,-1,train
81,1,-1,train
82,1,-1,train
83,1,-1,train
84,1,-1,train
85,1,-1,test
86,1,-1,holdout
87,1,-1,holdout
88,1,-1,train
89,1,-1,train
90,1,-1,train
91,1,-1,train
92,1,-1,train
93,1,-1,holdout
94,1,-1,train
95,1,-1,train
96,1,-1,train
97,1,-1,test
98,1,-1,holdout
99,1,-1,train
100,1,-1,train
101,1,-1,train
102,1,-1,train
103,1,-1,train
104,1,-1,test
105,1,-1,test
106,1,-1,train
107,1,-1,train
108,1,-1,train
109,1,-1,train
110,1,-1,holdout
111,1,-1,train
112,1,-1,test
113,1,-1,holdout
114,1,-1,train
115,1,-1,train
116,1,-1,train
117,1,-1,train
118,1,-1,train
119,1,-1,train
120,1,-1,train
121,1,-1,test
122,1,-1,train
123,1,-1,train
124,1,-1,train
125,1,-1,holdout
126,1,-1,train
127,1,-1,train
128,2,-1,test
129,2,-1,train
130,2,-1,train
131,2,-1,train
132,2,-1,train
133,2,-1,test
134,2,-1,train
135,2,-1,train
136,2,-1,test
137,2,-1,train
138,2,-1,train
139,2,-1,holdout
140,2,-1,train
141,2,-1,train
142,2,-1,train
143,2,-1,train
144,2,-1,train
145,2,-1,train
146,2,-1,train
147,2,-1,train
148,2,-1,train
149,2,-1,train
150,2,-1,train
151,2,-1,train
152,2,-1,holdout
153,2,-1,train
154,2,-1,train
155,2,-1,train
156,2,-1,train
157,2,-1,train
158,2,-1,train
159,2,-1,train
160,2,-1,train
161,2,-1,test
162,2,-1,test
163,2,-1,train
164,2,-1,train
165,2,-1,train
166,2,-1,train
167,2,-1,train
168,2,-1,train
169,2,-1,train
170,2,-1,train
171,2,-1,train
172,2,-1,train
173,2,-1,test
174,2,-1,test
175,2,-1,train
176,2,-1,test
177,2,-1,train
178,2,-1,train
179,2,-1,train
180,2,-1,train
181,2,-1,train
182,2,-1,train
183,2,-1,train
184,2,-1,test
185,2,-1,train
186,2,-1,train
187,2,-1,train
188,2,-1,train
189,2,-1,train
190,2,-1,train
191,2,-1,holdout
192,2,-1,holdout
193,2,-1,train
194,2,-1,train
195,2,-1,test
196,2,-1,train
197,2,-1,holdout
198,2,-1,train
199,2,-1,train
200,2,-1,holdout
201,2,-1,holdout
202,2,-1,train
203,2,-1,train
204,2,-1,train
205,2,-1,train
206,2,-1,train
207,2,-1,train
208,2,-1,train
209,2,-1,train
210,2,-1,train
211,2,-1,train
212,2,-1,train
213,2,-1,test
214,2,-1,test
215,2,-1,test
216,2,-1,test
217,2,-1,train
218,2,-1,train
219,2,-1,train
220,2,-1,holdout
221,2,-1,train
222,2,-1,train
223,2,-1,train
224,2,-1,train
225,2,-1,train
226,2,-1,train
227,2,-1,holdout
228,2,-1,train
229,2,-1,train
230,2,-1,train
231,2,-1,holdout
232,2,-1,train
233,2,-1,test
234,2,-1,train
235,2,-1,test
236,2,-1,train
237,2,-1,train
238,2,-1,train
239,2,-1,train
240,2,-1,train
241,2,-1,train
242,2,-1,train
243,2,-1,test
244,2,-1,train
245,2,-1,train
246,2,-1,train
247,2,-1,test
248,2,-1,train
249,2,-1,test
250,2,-1,train
251,2,-1,test
252,2,-1,train
253,2,-1,test
254,2,-1,train
255,2,-1,train
256,2,-1,train
257,2,-1,train
258,2,-1,train
259,2,-1,holdout
260,2,-1,train
261,2,-1,train
262,2,-1,test
263,2,-1,train
264,2,-1,holdout
265,2,-1,train
266,2,-1,train
267,2,-1,train
268,2,-1,train
269,2,-1,test
270,2,-1,holdout
271,2,-1,train
272,2,-1,train
273,2,-1,train
274,2,-1,train
275,2,-1,train
276,2,-1,holdout
277,2,-1,holdout
278,2,-1,train
279,2,-1,train
280,2,-1,train
281,2,-1,train
282,2,-1,train
283,2,-1,train
284,2,-1,train
285,2,-1,train
286,2,-1,holdout
287,2,-1,test
288,3,-1,train
289,3,-1,train
290,3,-1,train
291,3,-1,train
292,3,-1,train
293,3,-1,train
294,3,-1,train
295,3,-1,train
